M1 >
(size of Audio: 48 X 13)
(M1 - size of Encoded: 48 X 2)
-1.01196 -1.57666 
-0.950055 -0.26249 
-0.665097 2.32131 
-1.46217 0.653948 
-1.03827 1.84321 
-1.26785 1.81975 
-0.843057 2.12573 
-0.797035 1.49034 
-0.537221 1.78186 
-0.848439 0.351142 
-0.85873 -0.00239789 
-0.933778 1.03716 
0.305556 0.589937 
-0.17839 2.6724 
-1.26422 2.47701 
-0.736261 2.30883 
-1.18576 0.718931 
-0.701172 1.50194 
-0.838214 0.160795 
-0.804156 1.44528 
-1.5513 -1.1687 
-1.13026 -0.787307 
-0.751062 -0.415216 
-0.317712 1.10562 
-1.2882 1.0001 
-0.625391 0.852642 
-0.899012 1.45352 
-0.600258 1.46663 
-0.471983 1.32449 
-0.784036 1.90216 
-1.76089 2.06586 
-1.33353 1.11072 
-1.11863 0.0816697 
-0.34968 -0.866198 
-1.2206 -1.36063 
-0.923216 -0.73267 
-0.595742 0.914375 
-1.0709 0.250893 
-1.00169 1.74542 
0.083967 2.01184 
-0.652025 1.37945 
-1.94136 1.04752 
-1.16065 -0.0201022 
-1.19153 -0.406317 
-1.3566 -1.27365 
-0.967284 0.355283 
-1.11112 0.122708 
-1.11966 2.16719 
-0.661831 3.22193 
-0.967158 0.538643 
-0.576247 0.963493 
-1.25471 1.82249 
-1.57219 -0.834928 
-1.23198 -0.201929 
-0.860653 0.713908 
-0.853114 2.21765 
-0.635199 0.595588 
-1.52018 1.50952 
-0.200291 1.96544 
-1.71175 -0.543495 
-0.390889 1.38627 
-0.619323 1.34219 
-1.39496 0.327558 
-1.72556 -0.270243 
-0.819291 1.25852 
-0.813923 0.653473 
-1.02661 1.20746 
-0.660829 1.43447 
-1.31126 0.871152 
-0.741928 1.29684 
-0.504866 -0.638301 
-0.835071 0.867241 
-1.67945 -0.366626 
-0.783226 0.564239 
-0.525463 1.17627 
-1.18716 0.28948 
-1.64674 0.129791 
-1.50782 -0.517505 
-1.27388 0.123709 
-1.85823 -0.704432 
-1.21264 2.4091 
-1.17518 0.901023 
-0.964172 0.0602615 
-0.646711 0.494354 
-1.37083 -0.0519982 
-1.48037 0.35074 
-0.638512 -0.16375 
-1.5248 0.038927 
-1.51035 -0.362499 
-0.166583 0.744211 
-1.54118 -0.0516364 
-1.17626 0.222322 
-1.37088 -0.550694 
-0.796032 0.311611 
-0.813496 0.628601 
-2.11299 -0.447476 
-1.8566 -0.062184 
-1.31255 -1.70895 
-0.700375 -0.0819254 
-1.56139 -1.85028 
-1.92829 -2.4017 
-1.24355 -1.08925 
-1.43579 -0.641679 
-0.68528 0.837083 
-1.85882 0.628532 
-0.69561 1.22274 
-0.981435 1.34187 
-0.582255 1.9855 
-0.917207 -0.182224 
-0.54523 0.827771 
-0.632725 1.27206 
-1.38167 1.69664 
-1.20504 0.0617484 
-0.851066 1.48438 
-1.72502 0.0456876 
-0.861606 -0.368473 
-1.47748 0.329262 
-2.01856 -0.887884 
-2.2654 -1.18644 
-1.12057 -1.05596 
-0.11602 0.301254 
-0.548214 -0.264463 
-1.16902 -0.462105 
-1.50926 0.881034 
-1.11854 0.241469 
-0.54434 0.735538 
-0.109171 1.22762 
-0.943292 1.32691 
1.61087 1.16868 
3.23044 0.667934 
2.6154 -0.29428 
2.81208 -0.348951 
1.96538 -2.06166 
1.19299 -3.72993 
2.44492 -1.85593 
2.42109 -0.226291 
3.15874 1.69809 
4.77387 1.03603 
3.83449 0.578608 
5.03031 1.89763 
4.57001 1.18406 
4.01184 2.17223 
5.23211 2.55834 
4.70773 1.18948 
5.18689 2.63653 
4.42606 2.05819 
4.60312 2.34327 
4.06685 1.14663 
4.64173 2.44108 
5.38578 2.78919 
3.97673 2.39248 
4.30846 1.48394 
5.54317 2.21994 
4.69947 1.5876 
4.92628 3.81356 
4.25614 2.41377 
4.72683 3.6652 
4.37682 1.59604 
5.52021 2.08616 
3.75153 1.65579 
5.05765 1.35946 
3.43614 1.71834 
3.8398 1.97947 
4.356 1.62702 
3.83661 0.730332 
2.68861 1.52307 
3.79847 1.366 
3.77347 2.31512 
3.29526 0.955099 
4.91187 2.09103 
3.72734 2.38801 
5.40547 2.41065 
4.11998 1.43726 
4.39668 0.37331 
3.36412 1.80407 
3.69947 2.234 
3.78963 2.54047 
4.54442 2.52659 
4.51394 1.65648 
4.46888 2.12891 
4.76634 1.16506 
4.71951 1.37917 
3.94665 0.0643523 
3.33763 2.35427 
3.14272 1.00255 
3.31427 0.985248 
3.9182 1.28223 
2.59742 1.92935 
3.39531 1.22547 
2.839 3.37426 
3.35723 -0.822644 
2.57178 -0.293295 
2.68906 0.480487 
2.6444 1.20735 
3.54803 1.0453 
2.90613 1.31364 
2.74758 0.593629 
3.13048 1.39456 
2.33011 -0.743512 
1.53157 -0.766508 
0.134621 -3.16332 
1.39978 -2.07651 
3.79513 -1.19416 
2.96673 -0.577038 
3.27453 -2.14957 
3.44335 -2.53264 
6.11687 -0.715444 
4.91631 -0.0871812 
3.74862 -1.46331 
2.3212 -1.83204 
2.43927 -1.40721 
3.0604 -1.31988 
2.6086 -2.84931 
2.98528 -1.73291 
3.58484 -1.89874 
2.37934 -3.29362 
2.41978 -1.91278 
2.84601 -2.00817 
1.86918 -1.55649 
1.61987 -1.93945 
2.34825 -2.62839 
3.65162 -2.44803 
4.98001 -3.06545 
4.03213 -2.67372 
2.69047 -2.26447 
3.48793 -0.952428 
2.54124 -0.341419 
1.875 -1.71571 
2.2187 0.252792 
4.68123 -2.38074 
4.71115 -2.58637 
4.04529 -1.96225 
3.21307 -3.14264 
2.3433 -2.77291 
2.87325 -1.90479 
2.59455 -2.10472 
2.19151 0.0718059 
2.3087 -2.14033 
4.46149 -2.18008 
5.09224 -2.76312 
5.88971 -1.76933 
3.64753 -1.8526 
4.07442 -2.10902 
3.00198 -1.56977 
3.39243 0.212697 
2.80594 0.503866 
4.32201 -0.331625 
5.6154 -2.49378 
6.22553 -2.15598 
5.39788 -1.73928 
4.8609 -1.7167 
4.46303 -2.29987 
4.62505 -0.205089 
4.58722 -1.27937 
3.98563 -0.41865 
4.31873 -1.61196 
5.86537 -1.82853 
6.56979 -0.990617 
5.81696 -2.35464 
4.06498 -3.00705 
4.53464 -2.53479 
6.2125 -1.10702 
4.42831 -0.6622 
4.52476 -1.19353 
3.15681 -1.98623 
3.80091 -1.49346 
6.74345 -1.07461 
6.27083 -0.938516 
5.08829 -1.58041 
4.77761 -2.54302 
6.13364 -0.684645 
5.05285 -1.54192 
3.58791 -0.489824 
3.17325 -0.720676 
4.60755 -1.81764 
6.91381 -0.832155 
6.99557 0.327078 
5.31367 -2.21301 
4.59615 -2.55792 
5.81152 -2.5522 
5.96788 -1.06725 
5.75533 0.660991 
4.44636 -1.33958 
5.00252 -0.827148 
4.48607 -1.17706 
7.11376 -0.0463404 
7.29529 0.191096 
5.18166 -3.08441 
4.46366 -2.34283 
5.23369 -2.26178 
4.44568 -3.51525 
5.24239 -3.05931 
3.65058 -0.733893 
4.91554 -0.670767 
5.89178 -1.73791 
6.4465 -0.843723 
6.88433 -0.638362 
4.36678 -3.05164 
4.68167 -3.41553 
4.85417 -2.56182 
5.61218 -0.834094 
5.87124 -1.38339 
5.17599 -0.0214597 
4.91142 -0.191539 
6.27376 0.809637 
6.11133 0.095846 
5.98914 -0.510397 
4.87645 -1.64847 
3.21233 -2.72929 
3.52497 -2.51055 
5.36525 -0.144499 
4.59818 1.14071 
4.33961 -1.3865 
